,text,text_clean
716,"true Kantian spirit, regards it as the task of a phenomenological philosophy to 
",true kantian spirit regards task phenomenological philosophy
717,"critically validate all truth claims. In the long run, all validation and all 
",critically validate truth claims long run validation
718,"criticism have to appeal to consciousness. Consciousness is reason.32 Such an 
",criticism appeal consciousness consciousness reason
719,"identification of consciousness with reason seems incompatible with the 
",identification consciousness reason seems incompatible
720,"distinction which one cannot overlook between the naive, positing 
",distinction one cannot overlook naive positing
721,"consciousness and critical, reflecting consciousness. I think what Funke 
",consciousness critical reflecting consciousness think funke
722,"means is that the latter alone is the rational consciousness. Critical 
",means latter alone rational consciousness critical
723,"phenomenology, then, cannot be merely descriptive. As a science, it has to 
",phenomenology cannot merely descriptive science
724,"look for the grounding structures (Begrundungszusammenhiinge). These 
",look grounding structures begrundungszusammenhiinge
725,"ultimately grounding structures are the noetic-noematic correlation structures. 
",ultimately grounding structures noeticnoematic correlation structures
726,"The sort of grounding, namely, which we can expect phenomenology to 
",sort grounding namely expect phenomenology
727,"provide, would answer the question of why on a definite level of 
",provide would answer question definite level
728,"consciousness, something must appear to be self-evident. 33 
",consciousness something must appear selfevident
729,"Although Funke wants phenomenology to critically validate all truth-
",although funke wants phenomenology critically validate truth
730,"claims, he does not admit any given truth claim to be final. A 
",claims admit given truth claim final
731,"phenomenological philosophy cannot stop with any position. It shall 
",phenomenological philosophy cannot stop position shall
732,"overcome all positions by showing, critically, how those positions are 
",overcome positions showing critically positions
733,"correlates of specific positional acts. Thus phenomenology shall transcend all 
",correlates specific positional acts thus phenomenology shall transcend
734,"naive philosophising. It shall continue to be critical, and shall not end up in a 
",naive philosophising shall continue critical shall end
735,"metaphysics. One of Funke's valuable contributions lies in cautioning us 
",metaphysics one funkes valuable contributions lies cautioning us
736,"against accepting any given as ultimate. This is especially worth heeding 
",accepting given ultimate especially worth heeding
737,"when it comes to the lifeworld. For many phenomenologists, Husserl rightly 
",comes lifeworld many phenomenologists husserl rightly
738,"reached here, in his discovery of the lifeworld, the last source of all evidences, 
",reached discovery lifeworld last source evidences
739,"the ultimate fact, as it were. Funke warns us against the tendency to 
",ultimate fact funke warns us tendency
740,"dogmatise the positing of the lifeworld. It appears as if he is providing an 
",dogmatise positing lifeworld appears providing
741,"insight which ought to counterbalance some of Landgrebe's seeming 
",insight ought counterbalance landgrebes seeming
